"State","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","category","region_name"
"Alabama",1,4,8,3,2,2,3,1,4,0,1,3,3,3,2,2,0,1,0,1,1,3,4,5,2,1,1,"storm","Southeast"
"Alaska",0,0,0,1,1,1,3,3,2,3,4,1,2,1,2,2,2,2,2,2,0,3,5,0,1,7,0,"storm","West"
"Arizona",0,0,1,1,1,6,4,2,9,5,0,1,2,5,5,0,4,0,4,1,3,3,3,7,4,4,1,"storm","West"
"Arkansas",2,1,1,0,3,1,2,2,1,1,0,4,5,2,2,0,3,2,1,2,1,0,3,3,0,1,0,"storm","Southwest"
"California",2,1,2,1,0,12,7,33,7,11,12,22,15,9,6,3,8,17,8,13,14,29,11,27,14,6,4,"storm","West"
"Colorado",1,0,1,3,1,20,2,5,2,3,3,3,1,2,3,5,9,0,1,1,2,3,0,3,3,2,0,"storm","West"
"Connecticut",0,0,1,0,0,0,1,1,2,2,1,0,0,1,3,2,4,0,1,0,0,1,1,1,2,1,0,"storm","Northeast"
"Delaware",0,1,1,0,0,0,3,0,2,1,0,0,0,1,2,0,2,0,0,1,0,0,0,0,1,1,0,"storm","Southeast"
"Florida",1,19,15,12,14,0,2,4,4,2,8,4,4,0,1,1,2,1,0,1,9,1,4,7,4,5,3,"storm","Southeast"
"Georgia",0,1,2,2,1,0,0,2,1,0,6,2,2,0,5,0,0,2,1,1,8,0,3,0,2,0,1,"storm","Southeast"
"Hawaii",2,3,0,1,1,0,1,1,5,2,4,2,2,1,1,1,0,1,1,0,1,5,0,3,2,1,0,"storm","West"
"Idaho",2,0,0,1,0,0,0,0,2,1,3,1,0,2,1,2,2,0,4,3,3,2,1,0,2,2,0,"storm","West"
"Illinois",2,0,2,0,2,1,1,1,2,1,4,3,3,1,2,0,1,1,0,0,0,0,1,0,0,1,1,"storm","Midwest"
"Indiana",1,2,1,0,1,2,2,2,3,1,2,4,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,"storm","Midwest"
"Iowa",0,2,2,0,1,1,0,1,1,0,4,2,1,4,4,0,4,3,1,1,2,2,2,2,0,1,0,"storm","Midwest"
"Kansas",0,1,3,1,1,1,1,2,3,4,3,3,4,3,4,1,1,1,1,2,10,1,4,0,0,3,0,"storm","Midwest"
"Kentucky",1,2,0,3,3,5,3,2,2,1,1,2,5,2,2,1,0,1,4,1,2,2,1,1,2,4,0,"storm","Southeast"
"Louisiana",1,1,2,2,2,1,2,2,5,0,2,4,0,1,2,3,1,0,1,3,2,2,5,4,10,0,0,"storm","Southwest"
"Maine",2,2,1,2,2,0,2,3,6,2,3,2,3,2,2,0,1,0,1,0,0,2,0,0,0,1,1,"storm","Northeast"
"Maryland",0,0,1,1,0,1,2,0,1,1,0,0,0,2,2,2,2,1,0,2,0,2,0,0,1,0,0,"storm","Southeast"
"Massachusetts",2,1,0,1,2,0,1,2,2,3,1,0,2,3,4,2,4,0,1,0,0,2,0,0,1,1,0,"storm","Northeast"
"Michigan",1,2,2,0,2,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,2,1,0,0,"storm","Midwest"
"Minnesota",4,2,2,1,2,2,0,0,2,2,2,1,2,3,4,1,2,1,0,0,1,1,2,0,0,3,0,"storm","Midwest"
"Mississippi",1,1,2,0,3,1,4,1,3,0,0,4,1,2,3,2,1,1,1,2,2,2,3,7,5,2,1,"storm","Southeast"
"Missouri",0,0,3,2,0,2,1,1,1,3,5,7,4,1,5,0,2,0,2,2,1,0,2,1,1,2,0,"storm","Midwest"
"Montana",1,0,1,7,3,1,8,0,1,3,4,1,1,1,2,6,3,1,1,3,8,1,3,5,6,1,0,"storm","West"
"Nebraska",0,1,1,0,1,1,1,1,2,4,4,4,1,4,5,1,0,4,1,0,2,2,2,0,1,3,0,"storm","Midwest"
"Nevada",1,0,6,3,2,4,4,5,9,6,6,1,1,1,1,4,1,0,1,2,7,1,3,5,3,1,0,"storm","West"
"New Hampshire",1,2,0,1,1,0,2,1,4,2,1,2,3,2,3,3,4,0,1,1,2,3,1,0,1,1,1,"storm","Northeast"
"New Jersey",2,1,2,1,2,1,2,1,3,1,2,0,0,4,4,3,2,0,1,1,0,1,0,0,4,0,0,"storm","Northeast"
"New Mexico",0,3,1,7,1,9,2,3,1,6,2,4,1,3,9,6,3,2,2,2,1,3,1,0,1,7,0,"storm","West"
"New York",2,4,5,1,3,3,5,2,4,1,7,0,3,2,7,0,4,1,1,0,1,1,1,1,4,1,3,"storm","Northeast"
"North Carolina",0,3,4,1,0,0,3,2,2,1,0,1,1,2,5,0,2,2,0,0,4,3,2,3,3,0,1,"storm","Southeast"
"North Dakota",2,1,1,1,2,2,1,2,2,3,3,0,1,4,3,0,4,2,0,0,1,0,1,2,2,1,1,"storm","Midwest"
"Ohio",1,1,0,3,1,0,5,3,3,2,1,1,1,0,1,2,1,0,0,0,0,1,2,0,0,0,0,"storm","Midwest"
"Oklahoma",0,3,1,3,4,2,3,0,1,31,7,9,11,5,30,9,2,2,1,7,6,4,4,3,3,3,1,"storm","Southwest"
"Oregon",2,1,0,0,2,9,3,3,2,3,4,2,3,0,2,1,4,6,6,3,6,6,3,19,4,2,1,"storm","West"
"Pennsylvania",1,1,3,0,1,0,3,3,2,1,1,0,0,1,5,0,2,2,0,1,1,0,1,0,1,0,0,"storm","Northeast"
"Rhode Island",1,0,0,0,0,0,1,0,2,0,1,0,0,2,2,0,3,0,1,0,0,0,0,0,1,1,0,"storm","Northeast"
"South Carolina",0,1,2,1,0,2,1,3,2,1,0,0,1,0,0,0,0,2,0,2,4,3,2,2,0,1,1,"storm","Southeast"
"South Dakota",3,1,1,3,2,2,0,2,5,3,3,2,2,6,2,2,3,2,2,0,1,2,3,2,1,3,3,"storm","Midwest"
"Tennessee",2,3,4,1,4,3,4,0,2,1,0,1,4,2,6,1,0,2,1,0,6,0,1,4,4,3,1,"storm","Southeast"
"Texas",1,33,13,19,5,2,3,0,3,22,4,28,16,2,57,1,2,2,1,6,1,7,3,3,3,8,0,"storm","Southwest"
"Utah",0,0,1,0,1,1,1,1,4,0,3,0,1,1,2,6,2,1,0,1,3,3,1,5,4,0,0,"storm","West"
"Vermont",1,2,0,2,2,1,1,1,0,0,2,3,1,0,5,2,2,2,2,0,1,2,1,1,2,0,1,"storm","Northeast"
"Virginia",0,1,3,1,3,6,2,3,2,3,0,0,0,3,4,3,2,0,0,1,1,1,2,0,1,3,0,"storm","Southeast"
"Washington",7,3,2,3,9,2,3,6,3,4,5,3,5,2,2,10,3,12,13,8,4,10,1,11,10,5,2,"storm","West"
"West Virginia",1,1,0,1,1,3,3,4,2,0,1,1,1,4,0,4,3,1,5,1,1,2,1,0,2,0,2,"storm","Southeast"
"Wisconsin",1,2,1,1,2,2,0,1,1,0,1,2,0,1,2,1,1,0,0,1,1,2,2,1,0,0,0,"storm","Midwest"
"Wyoming",0,0,1,1,4,3,0,1,1,2,1,0,0,1,1,4,0,0,1,3,2,2,0,2,0,0,0,"storm","West"
"Alabama",144501.2,149568.2,154900.2,157221.3,156853.2,160422.4,165134.7,176625,184369.5,187270.8,189002.5,186946.7,180707.2,184702.4,187605.8,189245.5,191369.8,189886.3,191335.2,194283.8,196974.9,200372.6,203432.7,199880.8,209979.3,213264.8,NA,"gdp","Southeast"
"Alaska",42211.3,41095.9,40590.5,39406.6,40958.7,42979,42355.3,44055,45657.1,49190.2,51721,51252.1,56215.1,54601.5,55280.3,58283.6,55354.3,54188.2,54740.8,54246.6,54278.7,53327,53433.8,50705.2,50869.4,49633.7,NA,"gdp","West"
"Arizona",168408.8,183060.5,198699.9,208439.5,213166.2,220696.7,234065.9,244317.3,262326,274179.4,283250.7,280810.1,257498.5,260307.1,266101.5,271440,273481.9,276948.9,282577,291275.2,303606.1,314827.5,325395.3,327178,347656,356417,NA,"gdp","West"
"Arkansas",82571.3,84570.8,89115.2,89871.7,89789,92950.5,96944.5,101733.6,105980,108460.6,107606.1,106536.5,102996.6,105662,107932.5,108492.1,110752.4,111734.5,112351,112798.1,113850.2,115885.2,117126.2,117268.2,123347.3,126532.2,NA,"gdp","Southwest"
"California",1378276.5,1468730.8,1574305.9,1696172.4,1692324.1,1722522.4,1789998.5,1850904.5,1926842.1,2002437.4,2041192.2,2061638.8,1995439.7,2036015,2063827.5,2113096.4,2179229,2256054.7,2357452.9,2427894.6,2538204,2644061.2,2729225.8,2667220.9,2874730.8,2885627.3,NA,"gdp","West"
"Colorado",184185.3,200679.7,215294.6,231589.8,234979.4,235417.3,237782.3,240747.6,251558.4,257430.2,266887.5,270981.4,264966.3,267858.9,271700.6,276823.1,286259.1,298655.3,312409.7,318953.4,329913.3,342733.2,358438.5,353345.2,373763.3,385834.8,NA,"gdp","West"
"Connecticut",190518.9,196391.1,202351.7,216157.6,218135.3,216677.7,219186,233426.5,238549.5,248233.8,257953,257756,244894.7,244354.7,238542.4,240911.9,236050.6,235780.9,242706.5,243286.7,247035.9,249074.8,251568.2,235234.9,246555.9,252533.3,NA,"gdp","Northeast"
"Delaware",45980.1,50434.3,54236.7,56550.2,58372.7,56534.5,57300,60069.9,59335.1,60624.3,60477.9,58655.7,61517.7,60577.2,62919.3,62354.6,60235.8,64940.1,66793.5,63001.3,60357.5,61425.1,64143.5,62281.8,64404.7,65754.8,NA,"gdp","Southeast"
"Florida",559805.3,587970.7,615238.2,642708.2,660659.5,689974,722374.5,769140.5,815755.8,839963.8,850048.6,816070.2,769061.1,775039.5,772021.3,778545,794842.1,817233.5,852242.4,881539.2,912687.4,941626.7,965672.5,950164.4,1029575.6,1070930.2,NA,"gdp","Southeast"
"Georgia",328118.7,352472.3,377127.4,389727.3,394317.3,399413.4,411685.6,428555.2,447152.9,453032.1,455904,445764.6,428740.7,433727.2,441626.7,447764.7,454908.9,470009.7,489182.3,506816.2,523805.3,538604.6,557364.4,537615.8,575292.2,591257.3,NA,"gdp","Southeast"
"Hawaii",55804.2,54404.8,54852.1,55891.1,55678.5,56990.8,59978.8,63318.1,67123.9,68759.3,70080.4,70460.8,67927.5,69628.1,70646.6,71905.3,73063.2,73512.4,75869.5,77303.9,78947.4,79845.3,79213.4,70109.4,74547.2,75418.3,NA,"gdp","West"
"Idaho",36997.4,38795.3,42510.4,47295.4,46084.5,47056.8,48593.7,51815.1,56043,57613.7,58670.9,60309.5,57327.9,58281.8,58226.2,58323.9,60631.2,62454,63081.2,65479,66941,70857.3,74162.6,75145.5,80093.8,84002.9,NA,"gdp","West"
"Illinois",576730.2,595615.8,618148.4,640723.4,642292.5,647517.8,658317.3,676805.9,687706.6,704827.6,712619.8,706616.5,688161,698179.6,711283.4,726399.1,726125,741194,751754.9,749333.5,753027,771695.5,775998.1,734385,780060.8,797969.1,NA,"gdp","Midwest"
"Indiana",231713.9,245675.7,254089.2,264121.7,259474.8,265345.1,277151.6,287655.9,290328.2,296112.7,304085.7,300962.6,279520.7,297517.3,299064.5,300513.9,307279.1,316783.1,313751.2,319601.5,324997.6,336327.1,337902.2,327277.9,346240.9,352955.9,NA,"gdp","Midwest"
"Iowa",113289.8,114087.4,116523,121924.2,120449.8,123298.2,128962.3,139978.1,144577.3,146555.3,152861.8,149881.4,146182.8,150148.4,152435.2,158538.4,158480.8,166619.2,171126.5,170389.1,170887.5,173547.7,173722,170957.4,179753,177090,NA,"gdp","Midwest"
"Kansas",104575,108183.6,111005.5,114030.5,114327.7,116195,118192.5,119391.6,123949.8,130364.5,137093.6,139536.8,134227,135723.2,139579.4,141818.2,141723.4,145344.1,148810.5,153695.3,155514.7,158734.4,159826.2,158348.3,162290.9,164939.3,NA,"gdp","Midwest"
"Kentucky",146522.8,150774.4,155611.5,151495.1,151834.3,155643.9,159990.8,164650.2,171180.3,175657.7,174407.3,173810.1,166704.2,173780.1,175745.3,178143.7,181505.9,181471.8,182916,184115,185920.6,187926.6,192971.9,188396.3,197818.3,201375.3,NA,"gdp","Southeast"
"Louisiana",200862.9,207611.6,211952.5,205722.6,208617.8,213079.4,221774.4,232712.8,247773.2,245500.2,230367.7,232150.7,236411,246836.2,234975.7,235384.7,228452.8,235355.1,233016,228428.5,233351.7,237298.3,237044.6,218421.7,221152.7,217155.8,NA,"gdp","Southwest"
"Maine",42942.2,44140.2,46351.4,48490.2,49471,50910.4,52209.8,54256,54926.9,55448.4,55359.9,54653.9,53630.1,54305,53789,53679.7,53239.1,54037.9,54425.8,55565.4,56469.4,58099.9,59553.4,59881.4,63594.5,64765.5,NA,"gdp","Northeast"
"Maryland",221211.6,231806.4,240946.2,250771.7,261532.9,270468.4,278332,290284.6,301660.6,305794.1,306755.8,314757.6,311342.2,325369.7,332437.2,332523.5,334268.9,339604.6,348151.8,360082,366204.4,367977.4,368056.4,352384,368571.1,368679.8,NA,"gdp","Southeast"
"Massachusetts",302724.1,315040.3,331602.3,358121.5,362663.8,362581.6,369007.4,379086.1,386803.5,395535.8,406421.2,414919.9,407219.6,425792.7,434494.5,442916.9,444874,451568.9,468060.9,475349,482808.4,501541.5,514170.8,500001,533102.1,543871.7,NA,"gdp","Northeast"
"Michigan",396974.5,406051.6,429936.2,438463.8,425103.2,436802.2,443652.2,448888.3,457137.7,449853.5,446943.2,420974,383140.1,404216.9,414834.4,422691.2,428737.6,434313.2,443831.2,452325.2,457614,466559.4,467107,448455.3,481778,490318.1,NA,"gdp","Midwest"
"Minnesota",212378.4,223654.5,232068.1,247802.6,247599.4,253478.4,264165.9,275560.1,284636.9,284382,286299.2,288420.6,277494.1,287140.1,293783.2,298328.3,305486.4,314091.3,318913.2,324030.3,327483.2,336892.2,340557.1,328489.5,346204.3,350314.5,NA,"gdp","Midwest"
"Mississippi",83153.1,85193.8,87638,88077.5,87309.5,88569.4,92354.7,94482.6,96820.7,99005.8,100211.8,101777.6,98000.6,98601.1,98515.8,100448.4,100331.2,100283.6,100482.4,101255.3,101245.3,100872.7,100982.8,100526.9,104353.5,104535.3,NA,"gdp","Southeast"
"Missouri",227796.8,231693.3,238452,244705.9,243060.4,247437.1,252677.3,259741.4,265735.1,267221.1,267691.2,273436.2,266834.9,270732.9,268533.8,271535.1,274599.3,276080.7,279020.8,279109.2,281253.3,284540.3,290619.5,282754.1,295687.3,300676.3,NA,"gdp","Midwest"
"Montana",29047,30342.4,30461.3,31241.1,31532.6,32503.7,33810.5,35528.6,37373.9,38577.6,40438.3,40471.1,39513.4,40793.7,41875.7,42340.9,42968.2,43829.1,45395.7,44436.8,45974.3,46584.1,46886.2,46750.4,48976.2,49752.2,NA,"gdp","West"
"Nebraska",70412.5,72089.6,73625.7,76368.1,78180.9,79179.8,83773.3,85987.1,89309.1,91832.7,93910.8,93840.5,93977.6,97466.1,102587.4,102725.9,104680,107936.8,111401.5,112611.5,114143.9,116792.9,118603.7,118141.5,122136.1,123539.6,NA,"gdp","Midwest"
"Nevada",89895.1,94672.8,101394.7,105635.4,106635.3,110448.6,115275.4,127325.6,137508.8,142967.1,144107.1,139954.2,128241.3,129828.4,130697.9,129312.9,129720.9,130897.4,136347.4,140081.2,145485.5,150448,156959.1,146492.5,159567.3,165455.1,NA,"gdp","West"
"New Hampshire",48359.7,51538.7,53084.5,56779.4,57632.6,59474.6,61892.7,64408.6,65034.4,66628.2,66853.6,65854.1,65023.4,67125.8,67559.1,68498.1,69080.3,70213.7,72042.4,73572.2,73972.7,75433,76819.1,75927.6,82986.3,83004.4,NA,"gdp","Northeast"
"New Jersey",426002.8,433564,447872.1,471426.9,476616.7,484657.1,494703.5,498245.2,507894.7,516681.4,520898.3,534501.4,506850.7,513917.9,507604,517195.9,523725.8,522166.4,529953.7,535055.3,537578.5,550059.5,559648.8,535323.7,566893.2,581704.2,NA,"gdp","Northeast"
"New Mexico",67285.2,66944,70487.9,71652.8,71730.5,73909.6,76767.5,83038.7,84034.4,86058.4,86738.8,86965.2,88069.9,87610.3,87592.9,87925.2,86856.6,88991.2,89701.3,89151.4,88962.9,90933.6,94897.4,92496.3,93625.1,94663.4,NA,"gdp","West"
"New York",977797.9,997251.9,1051337.6,1092188.2,1112794.4,1106150.8,1110613.1,1144125.1,1168891.1,1199276.9,1208564.6,1190080.9,1230672.3,1277466.8,1279527.1,1328233.5,1329376.3,1353410.4,1373643,1403230.5,1419112.1,1458382.4,1500833.4,1432507,1514779.2,1563043.7,NA,"gdp","Northeast"
